SKU_ID,Segment,Region,Unit_Cost_EUR,Average_Daily_Demand,Demand_Std_Dev,Expected_Lead_Time_Days,Actual_Lead_Time_Days,On_Hand_Inventory
PH-HC-E-1029,Connected Care,EMEA,40286.34,21.57,7.2,45,49,389
PH-AIRP-1030,Personal Health,EMEA,46.38,829.85,42.33,15,14,13969
PH-AIRP-1031,Personal Health,LATAM,278.56,293.52,15.74,15,17,6911
PH-LUME-1032,Personal Health,EMEA,190.98,725.14,49.84,21,24,5446
PH-VENT-1033,Connected Care,EMEA,43866.44,11.04,3.57,60,58,326
PH-DXR--1034,Diagnosis & Treatment,LATAM,461286.71,1.31,0.27,90,88,4
PH-DXR--1035,Diagnosis & Treatment,LATAM,180953.09,1.42,0.55,45,45,4
PH-MRI--1036,Diagnosis & Treatment,LATAM,609141.58,0.7,0.27,90,112,2
PH-SONI-1037,Personal Health,EMEA,120.13,1036.25,117.49,15,21,7854
PH-AED--1038,Connected Care,APAC,26942.57,4.24,1.07,45,43,176
PH-VENT-1039,Connected Care,North America,16547.13,21.52,2.89,45,57,88
PH-AED--1040,Connected Care,LATAM,20630.8,7.89,2.0,45,48,362
PH-DXR--1041,Diagnosis & Treatment,LATAM,450479.44,1.08,0.38,90,107,16
PH-VENT-1042,Connected Care,EMEA,21415.91,17.46,3.18,45,58,229
PH-AED--1043,Connected Care,North America,18128.01,4.92,1.13,30,38,157
PH-AIRP-1044,Personal Health,LATAM,238.93,313.82,41.51,21,25,9079
PH-CT-S-1045,Diagnosis & Treatment,EMEA,374291.2,0.55,0.19,90,103,24
PH-CT-S-1046,Diagnosis & Treatment,APAC,628709.6,1.27,0.41,45,40,2
PH-HC-E-1047,Connected Care,North America,26067.52,18.44,4.89,30,27,321
PH-AIRP-1048,Personal Health,EMEA,164.13,772.89,103.51,15,15,15284
PH-MRI--1049,Diagnosis & Treatment,North America,146161.41,0.16,0.03,60,84,21
PH-VENT-1050,Connected Care,EMEA,23647.87,12.89,1.85,45,46,72
PH-VENT-1051,Connected Care,North America,29673.93,3.04,0.59,45,60,145
PH-MRI--1052,Diagnosis & Treatment,LATAM,172872.62,0.2,0.06,45,67,21
PH-AED--1053,Connected Care,North America,30018.11,12.54,2.96,30,38,372
PH-DXR--1054,Diagnosis & Treatment,North America,596049.87,0.37,0.06,90,98,3
PH-SHAV-1055,Personal Health,EMEA,197.58,178.31,20.29,15,22,11817
PH-AED--1056,Connected Care,North America,14837.9,4.72,1.29,30,37,266
PH-MRI--1057,Diagnosis & Treatment,LATAM,392343.97,0.69,0.2,90,101,4
PH-MON--1058,Connected Care,North America,35609.34,9.84,3.27,30,38,232
PH-SONI-1059,Personal Health,APAC,81.94,515.5,80.86,10,13,6492
PH-SONI-1060,Personal Health,EMEA,33.91,1154.4,253.31,10,14,12011
PH-AIRP-1061,Personal Health,North America,145.46,642.33,42.82,10,10,6491
PH-SONI-1062,Personal Health,EMEA,215.62,970.74,201.84,10,12,7161
PH-SHAV-1063,Personal Health,APAC,162.88,585.68,133.27,21,29,8801
PH-CT-S-1064,Diagnosis & Treatment,EMEA,557069.41,1.31,0.47,60,67,9
PH-CT-S-1065,Diagnosis & Treatment,LATAM,588381.24,0.31,0.08,60,73,9
PH-MRI--1066,Diagnosis & Treatment,EMEA,581805.18,0.43,0.16,45,43,5
PH-LUME-1067,Personal Health,EMEA,222.06,714.24,96.31,15,15,14326
PH-SONI-1068,Personal Health,North America,22.95,615.53,37.71,10,16,12150
PH-SONI-1069,Personal Health,EMEA,81.75,540.25,78.63,10,15,2928
PH-CT-S-1070,Diagnosis & Treatment,EMEA,537202.27,1.47,0.42,90,105,17
PH-US-E-1071,Diagnosis & Treatment,North America,603895.96,0.45,0.15,45,57,16
PH-CT-S-1072,Diagnosis & Treatment,North America,247861.55,1.49,0.48,90,100,24
PH-AIRP-1073,Personal Health,LATAM,269.26,163.65,21.1,10,15,11337
PH-HC-E-1074,Connected Care,APAC,17840.79,15.42,1.84,30,30,241
PH-AED--1075,Connected Care,APAC,25516.05,9.12,2.77,30,39,95
PH-CT-S-1076,Diagnosis & Treatment,APAC,621385.95,1.12,0.34,60,64,19
PH-MRI--1077,Diagnosis & Treatment,North America,95029.18,0.63,0.22,90,101,12
PH-AED--1078,Connected Care,APAC,19505.56,21.07,5.1,30,28,154
PH-SONI-1079,Personal Health,APAC,23.55,182.89,34.45,10,12,7989
PH-US-E-1080,Diagnosis & Treatment,North America,518322.83,1.42,0.52,45,60,15
PH-MON--1081,Connected Care,EMEA,43070.14,15.94,2.51,30,34,337
PH-AIRP-1082,Personal Health,LATAM,25.77,647.98,94.11,21,29,17665
PH-CT-S-1083,Diagnosis & Treatment,APAC,631745.05,0.22,0.08,45,55,16
PH-SONI-1084,Personal Health,EMEA,181.28,874.49,80.97,15,24,8881
PH-VENT-1085,Connected Care,EMEA,29739.06,14.76,1.81,45,61,298
PH-DXR--1086,Diagnosis & Treatment,EMEA,598968.63,0.52,0.15,45,44,5
PH-CT-S-1087,Diagnosis & Treatment,North America,518283.11,0.19,0.03,60,75,3
PH-AED--1088,Connected Care,APAC,27345.3,9.86,2.31,60,72,144
PH-HC-E-1089,Connected Care,North America,29916.74,6.18,1.15,60,59,204
PH-MON--1090,Connected Care,North America,11076.14,2.94,0.42,45,62,375
PH-MRI--1091,Diagnosis & Treatment,EMEA,282915.15,1.35,0.25,60,67,10
PH-US-E-1092,Diagnosis & Treatment,EMEA,437903.22,0.21,0.08,90,100,18
PH-DXR--1093,Diagnosis & Treatment,EMEA,506508.02,0.36,0.07,90,108,23
PH-HC-E-1094,Connected Care,APAC,18494.37,12.64,3.63,45,60,56
PH-LUME-1095,Personal Health,APAC,153.04,685.32,48.96,15,18,8882
PH-AIRP-1096,Personal Health,EMEA,90.0,515.01,27.82,10,8,15542
PH-VENT-1097,Connected Care,North America,8030.01,22.48,5.58,45,44,282
PH-AED--1098,Connected Care,EMEA,27536.38,18.95,4.54,30,38,132
PH-MRI--1099,Diagnosis & Treatment,North America,286956.91,1.0,0.29,90,97,7
PH-MRI--1100,Diagnosis & Treatment,North America,84294.59,0.42,0.1,60,65,24
PH-LUME-1101,Personal Health,LATAM,156.37,551.44,135.92,21,24,9489
PH-AIRP-1102,Personal Health,North America,21.38,1172.57,173.72,15,15,16909
PH-AED--1103,Connected Care,LATAM,25471.54,12.96,4.01,30,32,167
PH-AIRP-1104,Personal Health,EMEA,151.98,366.65,26.75,15,18,3828
PH-LUME-1105,Personal Health,North America,145.1,685.85,41.4,15,20,2009
PH-SHAV-1106,Personal Health,North America,277.39,454.59,96.36,10,12,12568
PH-US-E-1107,Diagnosis & Treatment,EMEA,349704.73,0.95,0.33,90,101,6
PH-VENT-1108,Connected Care,LATAM,42183.4,24.79,3.75,60,59,50
PH-HC-E-1109,Connected Care,North America,38356.81,5.21,1.56,45,44,262
PH-US-E-1110,Diagnosis & Treatment,LATAM,459162.42,0.83,0.2,45,49,19
PH-AIRP-1111,Personal Health,North America,118.01,608.95,67.15,21,19,4712
PH-US-E-1112,Diagnosis & Treatment,EMEA,298818.0,0.86,0.32,90,91,20
PH-AED--1113,Connected Care,North America,29363.74,9.7,1.31,60,71,206
PH-AED--1114,Connected Care,EMEA,27072.34,24.95,7.19,30,31,338
PH-VENT-1115,Connected Care,APAC,35023.26,22.17,4.11,45,54,208
PH-DXR--1116,Diagnosis & Treatment,LATAM,424255.99,0.8,0.23,45,54,5
PH-CT-S-1117,Diagnosis & Treatment,LATAM,86955.75,0.94,0.27,60,65,6
PH-SHAV-1118,Personal Health,APAC,256.2,741.73,96.55,21,28,12541
PH-MON--1119,Connected Care,North America,8842.88,4.32,0.71,60,68,373
PH-DXR--1120,Diagnosis & Treatment,North America,451279.31,1.18,0.29,45,61,20
PH-HC-E-1121,Connected Care,EMEA,38298.46,22.95,3.0,30,47,395
PH-AED--1122,Connected Care,North America,41675.36,22.01,5.06,60,77,358
PH-HC-E-1123,Connected Care,EMEA,36087.18,15.89,2.04,30,37,343
PH-SHAV-1124,Personal Health,APAC,145.02,1110.3,185.88,21,30,15050
PH-HC-E-1125,Connected Care,APAC,27260.54,5.81,0.63,30,43,334
PH-SHAV-1126,Personal Health,North America,77.23,333.95,51.11,10,11,5432
PH-VENT-1127,Connected Care,APAC,6584.69,24.93,5.62,30,39,264
PH-AIRP-1128,Personal Health,EMEA,253.49,325.65,28.7,10,15,9186
PH-CT-S-1129,Diagnosis & Treatment,APAC,487013.74,0.84,0.24,45,57,7
PH-AIRP-1130,Personal Health,EMEA,67.3,1047.96,250.7,15,22,12093
PH-US-E-1131,Diagnosis & Treatment,APAC,637990.92,1.28,0.47,45,64,24
PH-LUME-1132,Personal Health,North America,151.43,754.55,88.93,10,10,9218
PH-AIRP-1133,Personal Health,LATAM,45.85,367.49,71.46,15,23,14175
PH-CT-S-1134,Diagnosis & Treatment,North America,196841.05,0.51,0.19,90,94,8
PH-SONI-1135,Personal Health,APAC,26.9,299.58,49.91,15,14,12112
PH-DXR--1136,Diagnosis & Treatment,North America,271443.54,1.26,0.3,90,96,21
PH-CT-S-1137,Diagnosis & Treatment,LATAM,521085.68,0.61,0.22,90,104,23
PH-CT-S-1138,Diagnosis & Treatment,North America,402492.67,1.48,0.4,45,57,20
PH-MON--1139,Connected Care,EMEA,25748.64,16.57,2.73,45,52,53
PH-MON--1140,Connected Care,LATAM,10210.53,8.26,0.86,45,62,91
PH-CT-S-1141,Diagnosis & Treatment,EMEA,118289.98,0.67,0.18,90,105,11
PH-US-E-1142,Diagnosis & Treatment,APAC,593010.63,1.32,0.4,45,64,22
PH-MON--1143,Connected Care,APAC,38200.49,11.3,3.31,45,43,359
PH-US-E-1144,Diagnosis & Treatment,LATAM,131492.07,1.18,0.2,90,92,12
PH-US-E-1145,Diagnosis & Treatment,EMEA,249359.38,0.89,0.24,90,108,23
PH-DXR--1146,Diagnosis & Treatment,North America,202516.02,0.14,0.03,90,104,12
PH-AED--1147,Connected Care,LATAM,28067.4,9.69,2.84,30,35,250
PH-MRI--1148,Diagnosis & Treatment,EMEA,362430.05,1.06,0.28,90,87,4
PH-DXR--1149,Diagnosis & Treatment,APAC,475976.99,0.48,0.14,90,89,13
PH-SONI-1150,Personal Health,LATAM,55.57,1145.26,159.42,21,30,3341
PH-AIRP-1151,Personal Health,EMEA,186.13,934.94,182.15,15,20,17896
PH-DXR--1152,Diagnosis & Treatment,APAC,206089.38,1.48,0.57,90,94,17
PH-US-E-1153,Diagnosis & Treatment,North America,396809.75,0.76,0.17,90,105,8
PH-AIRP-1154,Personal Health,APAC,49.97,563.94,117.9,21,22,11126
PH-AED--1155,Connected Care,North America,37814.45,2.85,0.71,60,68,237
PH-AED--1156,Connected Care,North America,32244.13,9.82,2.76,60,71,53
PH-MON--1157,Connected Care,APAC,33989.94,13.96,2.89,45,43,360
PH-VENT-1158,Connected Care,LATAM,3893.32,22.12,5.14,60,63,351
PH-CT-S-1159,Diagnosis & Treatment,EMEA,130469.74,0.15,0.04,90,109,11
PH-US-E-1160,Diagnosis & Treatment,LATAM,320173.49,1.13,0.24,90,97,15
PH-VENT-1161,Connected Care,APAC,15444.94,7.37,0.81,30,47,122
PH-MRI--1162,Diagnosis & Treatment,LATAM,467398.95,0.41,0.16,45,44,12
PH-AED--1163,Connected Care,APAC,39922.97,23.73,5.15,30,28,202
PH-AIRP-1164,Personal Health,EMEA,265.11,814.61,139.74,10,17,9274
PH-CT-S-1165,Diagnosis & Treatment,APAC,100937.2,1.44,0.51,45,44,23
PH-SONI-1166,Personal Health,EMEA,154.75,757.0,117.34,21,28,4466
PH-VENT-1167,Connected Care,North America,44846.1,22.64,4.89,30,41,138
PH-MON--1168,Connected Care,North America,6842.45,22.18,3.69,30,35,244
PH-HC-E-1169,Connected Care,APAC,4487.74,9.57,3.19,60,58,173
PH-HC-E-1170,Connected Care,North America,32220.0,3.12,0.73,30,42,333
PH-MRI--1171,Diagnosis & Treatment,LATAM,115064.7,1.34,0.37,90,110,4
PH-HC-E-1172,Connected Care,LATAM,26760.74,8.14,2.6,60,72,217
PH-US-E-1173,Diagnosis & Treatment,LATAM,574357.69,1.09,0.39,45,60,11
PH-LUME-1174,Personal Health,APAC,215.71,274.47,62.08,15,21,7150
PH-VENT-1175,Connected Care,EMEA,37437.77,7.26,2.37,45,45,307
PH-MRI--1176,Diagnosis & Treatment,North America,227452.35,0.37,0.06,90,101,10
PH-SHAV-1177,Personal Health,APAC,184.84,693.98,142.94,15,15,16749
PH-MON--1178,Connected Care,LATAM,43445.66,9.86,2.55,45,46,327
PH-HC-E-1179,Connected Care,EMEA,15640.47,18.29,2.14,45,42,71
PH-SHAV-1180,Personal Health,North America,246.6,1170.84,285.42,21,21,7043
PH-SONI-1181,Personal Health,APAC,25.75,455.97,67.36,21,29,14857
PH-VENT-1182,Connected Care,APAC,14492.32,24.93,5.15,30,35,88
PH-SONI-1183,Personal Health,APAC,200.36,342.85,22.79,15,16,5093
PH-LUME-1184,Personal Health,LATAM,267.22,266.16,36.32,10,12,14218
PH-AED--1185,Connected Care,North America,14517.04,24.63,4.98,45,56,211
PH-AIRP-1186,Personal Health,EMEA,245.71,886.42,144.09,21,26,7179
PH-MRI--1187,Diagnosis & Treatment,APAC,131963.76,0.32,0.08,60,74,8
PH-DXR--1188,Diagnosis & Treatment,APAC,247675.74,1.38,0.54,60,69,15
PH-CT-S-1189,Diagnosis & Treatment,EMEA,470772.21,0.7,0.14,45,67,23
PH-MRI--1190,Diagnosis & Treatment,EMEA,416450.45,0.71,0.28,45,47,22
PH-HC-E-1191,Connected Care,North America,19612.89,24.42,6.85,60,69,266
PH-MON--1192,Connected Care,LATAM,4663.99,13.05,1.65,30,38,95
PH-AIRP-1193,Personal Health,EMEA,145.41,331.38,39.5,15,24,10032
PH-MRI--1194,Diagnosis & Treatment,EMEA,583044.09,0.22,0.08,60,76,8
PH-AED--1195,Connected Care,LATAM,11436.08,17.94,5.48,45,53,354
PH-SONI-1196,Personal Health,LATAM,203.68,134.74,31.97,21,27,17729
PH-HC-E-1197,Connected Care,LATAM,36672.58,9.81,2.98,60,67,133
PH-VENT-1198,Connected Care,APAC,35920.97,13.06,1.44,45,55,61
PH-MRI--1199,Diagnosis & Treatment,North America,576916.63,0.41,0.16,45,47,24
PH-AIRP-1200,Personal Health,LATAM,149.53,710.9,137.8,15,17,17711
PH-US-E-1201,Diagnosis & Treatment,North America,450685.64,0.38,0.12,45,61,16
PH-AIRP-1202,Personal Health,LATAM,65.29,1156.86,154.07,10,11,12971
PH-HC-E-1203,Connected Care,North America,24203.49,14.5,3.31,30,30,299
PH-HC-E-1204,Connected Care,APAC,28459.93,15.75,4.7,60,66,292
PH-VENT-1205,Connected Care,APAC,18084.34,10.83,2.34,30,41,274
PH-HC-E-1206,Connected Care,APAC,20023.03,15.84,4.09,45,55,51
PH-MRI--1207,Diagnosis & Treatment,LATAM,119405.69,0.71,0.12,45,54,15
PH-SONI-1208,Personal Health,EMEA,192.28,204.79,36.95,10,16,10219
PH-SONI-1209,Personal Health,APAC,22.35,747.25,126.84,10,14,5374
PH-SHAV-1210,Personal Health,North America,39.11,286.73,44.14,15,24,15149
PH-MRI--1211,Diagnosis & Treatment,North America,221767.14,0.96,0.31,60,74,12
PH-SONI-1212,Personal Health,APAC,158.71,959.97,183.43,21,24,2619
PH-DXR--1213,Diagnosis & Treatment,APAC,233757.28,0.18,0.05,60,83,2
PH-SHAV-1214,Personal Health,LATAM,66.8,197.41,13.95,21,30,6585
PH-CT-S-1215,Diagnosis & Treatment,APAC,630117.66,0.11,0.04,60,83,8
PH-LUME-1216,Personal Health,EMEA,147.1,833.55,64.96,15,16,15647
PH-HC-E-1217,Connected Care,APAC,31284.16,24.31,3.0,30,32,54
PH-AED--1218,Connected Care,EMEA,32090.29,21.28,7.15,45,59,194
PH-AIRP-1219,Personal Health,APAC,219.82,224.42,46.93,10,8,17506
PH-MON--1220,Connected Care,EMEA,31012.8,15.28,2.86,45,59,241
PH-SONI-1221,Personal Health,LATAM,245.27,1192.67,239.11,10,16,9114
PH-MON--1222,Connected Care,APAC,35138.02,23.29,4.88,45,59,328
PH-US-E-1223,Diagnosis & Treatment,LATAM,294133.18,0.52,0.16,45,54,2
PH-AED--1224,Connected Care,North America,26664.43,10.75,2.55,30,43,273
PH-AIRP-1225,Personal Health,EMEA,23.81,745.77,62.41,15,22,11153
PH-US-E-1226,Diagnosis & Treatment,North America,389147.29,1.43,0.52,45,68,13
PH-HC-E-1227,Connected Care,EMEA,27367.24,14.27,3.6,60,62,351
PH-LUME-1228,Personal Health,APAC,24.74,315.36,16.24,21,23,7243
PH-DXR--1229,Diagnosis & Treatment,EMEA,608409.69,0.18,0.07,60,73,3
PH-DXR--1230,Diagnosis & Treatment,LATAM,226362.64,0.5,0.11,90,112,4
PH-HC-E-1231,Connected Care,APAC,33140.7,11.2,3.85,45,52,312
PH-AED--1232,Connected Care,LATAM,25056.86,18.31,2.32,45,51,85
PH-AED--1233,Connected Care,North America,37261.44,10.59,2.45,60,69,167
PH-HC-E-1234,Connected Care,LATAM,12579.35,6.88,1.74,45,51,121
PH-CT-S-1235,Diagnosis & Treatment,APAC,225717.65,0.52,0.17,90,94,19
PH-MON--1236,Connected Care,North America,20805.68,5.52,0.88,45,42,168
PH-CT-S-1237,Diagnosis & Treatment,EMEA,93473.99,1.0,0.3,90,94,10
PH-MRI--1238,Diagnosis & Treatment,APAC,113319.13,0.3,0.07,90,105,19
PH-VENT-1239,Connected Care,EMEA,21723.22,18.66,1.94,45,60,117
PH-VENT-1240,Connected Care,APAC,41032.04,19.77,3.29,30,27,213
PH-DXR--1241,Diagnosis & Treatment,LATAM,289164.97,0.58,0.18,45,56,3
PH-DXR--1242,Diagnosis & Treatment,LATAM,213215.89,0.86,0.32,60,57,23
PH-CT-S-1243,Diagnosis & Treatment,APAC,269811.09,1.04,0.41,60,60,18
PH-AED--1244,Connected Care,APAC,22538.64,3.38,0.81,30,39,336
PH-US-E-1245,Diagnosis & Treatment,LATAM,385421.78,0.24,0.06,45,55,13
PH-AIRP-1246,Personal Health,LATAM,119.46,231.81,56.76,15,17,8099
PH-MRI--1247,Diagnosis & Treatment,LATAM,462788.31,0.23,0.05,90,85,22
PH-HC-E-1248,Connected Care,North America,32767.28,2.83,0.5,45,54,115
PH-CT-S-1249,Diagnosis & Treatment,EMEA,614065.96,0.88,0.2,60,77,5
